inventory_date,store_id,product_id,current_stock_level,product_name,category,brand,cost_price,supplier_name,lead_time_days
2024-12-31,STORE01,PROD0001,52,Synergistic foreground benchmark,Books,Sarma-Andra,2870.13,Sem Inc Suppliers,25
2024-12-31,STORE01,PROD0002,36,Virtual context-sensitive middleware,Groceries,"Naidu, Gour and Tiwari",269.51,Ganesan-Jain Suppliers,13
2024-12-31,STORE01,PROD0003,36,Vision-oriented composite complexity,Groceries,Das Group,1691.89,"Dube, Badami and Pandit Suppliers",19
2024-12-31,STORE01,PROD0004,2,Realigned uniform algorithm,Apparel,Mani-Varty,1239.92,"Varughese, Sundaram and Walia Suppliers",29
2024-12-31,STORE01,PROD0005,65,Compatible methodical function,Books,Bhalla Inc,357.58,Sarraf-Prasad Suppliers,7
2024-12-31,STORE01,PROD0006,0,Implemented grid-enabled policy,Books,Bhalla Inc,1873.61,"Raju, Chawla and Parmar Suppliers",8
2024-12-31,STORE01,PROD0007,49,Decentralized upward-trending conglomeration,Electronics,Boase-Banerjee,1250.41,"Sanghvi, Dyal and Shukla Suppliers",11
2024-12-31,STORE01,PROD0008,80,Synchronized dynamic moderator,Home Goods,Krish Ltd,1272.08,Rastogi Group Suppliers,21
2024-12-31,STORE01,PROD0009,30,Organized real-time hierarchy,Apparel,Chaudry Group,1184.35,Sem Inc Suppliers,25
2024-12-31,STORE01,PROD0010,68,Down-sized regional open system,Books,Sarma-Andra,1540.58,Rastogi Group Suppliers,21
2024-12-31,STORE01,PROD0011,79,Switchable incremental Local Area Network,Books,Boase-Banerjee,328.01,"Sanghvi, Dyal and Shukla Suppliers",11
2024-12-31,STORE01,PROD0012,25,Persevering grid-enabled firmware,Books,Sura-Korpal,1809.06,Sarraf-Prasad Suppliers,7
2024-12-31,STORE01,PROD0013,96,User-friendly mission-critical flexibility,Electronics,Mani-Varty,1200.46,Narasimhan Inc Suppliers,19
2024-12-31,STORE01,PROD0014,69,Team-oriented radical capability,Apparel,Boase-Banerjee,2448.22,"Dube, Badami and Pandit Suppliers",19
2024-12-31,STORE01,PROD0015,61,Re-engineered static standardization,Books,"Tandon, Badal and Dasgupta",1985.69,Rastogi Group Suppliers,21
2024-12-31,STORE01,PROD0016,58,Ergonomic user-facing Graphical User Interface,Groceries,Boase-Banerjee,2087.33,"Oak, Mangat and Borde Suppliers",3
2024-12-31,STORE01,PROD0017,56,Balanced transitional function,Books,Madan-Wason,654.4,"Hegde, Shere and Agrawal Suppliers",17
2024-12-31,STORE01,PROD0018,49,Fundamental demand-driven help-desk,Home Goods,"Keer, Mander and Bhakta",486.91,Vaidya-Magar Suppliers,18
2024-12-31,STORE01,PROD0019,75,Virtual encompassing workforce,Home Goods,Jhaveri Ltd,1036.42,Kala-Venkataraman Suppliers,23
2024-12-31,STORE01,PROD0020,18,Virtual system-worthy array,Apparel,Chauhan Group,1376.59,Ganesan-Jain Suppliers,13
2024-12-31,STORE01,PROD0021,0,Streamlined responsive Internet solution,Books,"Naidu, Gour and Tiwari",1459.63,"Dube, Badami and Pandit Suppliers",19
2024-12-31,STORE01,PROD0022,60,Synchronized systemic emulation,Apparel,Jhaveri Ltd,620.14,Sarraf-Prasad Suppliers,7
